model,outer_fold,feature,feature_index,grid_value,prediction_mean,prediction_std,n_samples
RandomForest+PseudoHuber,,engineSize,4,0.08319544932395395,16224.704184637063,7432.887874530014,200
RandomForest+PseudoHuber,,engineSize,4,0.2636667403299766,16670.450624310757,7347.457052013992,200
RandomForest+PseudoHuber,,engineSize,4,0.4441380313359995,17593.597903278755,7460.900377875357,200
RandomForest+PseudoHuber,,engineSize,4,0.6246093223420224,18180.489437554334,7867.059182934688,200
RandomForest+PseudoHuber,,engineSize,4,0.805080613348045,18444.892224237523,7799.975093049839,200
RandomForest+PseudoHuber,,engineSize,4,0.9855519043540677,18712.17571397222,7958.8105235484045,200
RandomForest+PseudoHuber,,engineSize,4,1.1660231953600908,18832.03609070213,7991.210149268731,200
RandomForest+PseudoHuber,,engineSize,4,1.3464944863661135,18919.43605187971,8073.436563148623,200
RandomForest+PseudoHuber,,engineSize,4,1.5269657773721361,19631.208724048538,9168.043829974551,200
RandomForest+PseudoHuber,,engineSize,4,1.7074370683781588,20467.548180049274,10017.796174268224,200
RandomForest+PseudoHuber,,engineSize,4,1.8879083593841814,20596.982521519425,10062.998876002477,200
RandomForest+PseudoHuber,,engineSize,4,2.0683796503902045,20574.771874496444,10014.547567378026,200
RandomForest+PseudoHuber,,tax,2,-1.9942462272496047,17077.05526654738,9257.652933647318,200
RandomForest+PseudoHuber,,tax,2,-1.8566180427647574,17079.744181257367,9257.650364354087,200
RandomForest+PseudoHuber,,tax,2,-1.7189898582799104,17101.78555213547,9242.83998300125,200
RandomForest+PseudoHuber,,tax,2,-1.581361673795063,17089.69465348724,9242.533231081685,200
RandomForest+PseudoHuber,,tax,2,-1.4437334893102158,17201.650562632967,9232.241103106317,200
RandomForest+PseudoHuber,,tax,2,-1.3061053048253686,17201.65056263297,9232.241103106317,200
RandomForest+PseudoHuber,,tax,2,-1.1684771203405213,17201.650562632967,9232.241103106317,200
RandomForest+PseudoHuber,,tax,2,-1.0308489358556743,17201.65056263297,9232.241103106317,200
RandomForest+PseudoHuber,,tax,2,-0.893220751370827,17201.542286412678,9232.067227089206,200
RandomForest+PseudoHuber,,tax,2,-0.7555925668859798,17204.28516720516,9231.55395479415,200
RandomForest+PseudoHuber,,tax,2,-0.6179643824011325,17236.62366297149,9230.884617281627,200
RandomForest+PseudoHuber,,tax,2,-0.48033619791628546,17238.914255807806,9229.582912029131,200
RandomForest+PseudoHuber,,tax,2,-0.3427080134314382,17238.914255807806,9229.582912029131,200
RandomForest+PseudoHuber,,tax,2,-0.20507982894659094,17238.914255807806,9229.582912029131,200
RandomForest+PseudoHuber,,tax,2,-0.0674516444617439,17238.924663416314,9229.586892125615,200
